raceId,year,round,circuitId,name
948,2016,1,1,Australian Grand Prix
949,2016,2,3,Bahrain Grand Prix
950,2016,3,17,Chinese Grand Prix
951,2016,4,71,Russian Grand Prix
952,2016,5,4,Spanish Grand Prix
953,2016,6,6,Monaco Grand Prix
954,2016,7,7,Canadian Grand Prix
955,2016,8,73,European Grand Prix
956,2016,9,70,Austrian Grand Prix
957,2016,10,9,British Grand Prix
958,2016,11,11,Hungarian Grand Prix
959,2016,12,10,German Grand Prix
960,2016,13,13,Belgian Grand Prix
961,2016,14,14,Italian Grand Prix
962,2016,15,15,Singapore Grand Prix
963,2016,16,2,Malaysian Grand Prix
964,2016,17,22,Japanese Grand Prix
965,2016,18,69,United States Grand Prix
966,2016,19,32,Mexican Grand Prix
967,2016,20,18,Brazilian Grand Prix
968,2016,21,24,Abu Dhabi Grand Prix
969,2017,1,1,Australian Grand Prix
970,2017,2,17,Chinese Grand Prix
971,2017,3,3,Bahrain Grand Prix
972,2017,4,71,Russian Grand Prix
973,2017,5,4,Spanish Grand Prix
974,2017,6,6,Monaco Grand Prix
975,2017,7,7,Canadian Grand Prix
976,2017,8,73,Azerbaijan Grand Prix
977,2017,9,70,Austrian Grand Prix
978,2017,10,9,British Grand Prix
979,2017,11,11,Hungarian Grand Prix
980,2017,12,13,Belgian Grand Prix
981,2017,13,14,Italian Grand Prix
982,2017,14,15,Singapore Grand Prix
983,2017,15,2,Malaysian Grand Prix
984,2017,16,22,Japanese Grand Prix
985,2017,17,69,United States Grand Prix
986,2017,18,32,Mexican Grand Prix
987,2017,19,18,Brazilian Grand Prix
988,2017,20,24,Abu Dhabi Grand Prix
989,2018,1,1,Australian Grand Prix
990,2018,2,3,Bahrain Grand Prix
991,2018,3,17,Chinese Grand Prix
992,2018,4,73,Azerbaijan Grand Prix
993,2018,5,4,Spanish Grand Prix
994,2018,6,6,Monaco Grand Prix
995,2018,7,7,Canadian Grand Prix
996,2018,8,34,French Grand Prix
997,2018,9,70,Austrian Grand Prix
998,2018,10,9,British Grand Prix
999,2018,11,10,German Grand Prix
1000,2018,12,11,Hungarian Grand Prix
1001,2018,13,13,Belgian Grand Prix
1002,2018,14,14,Italian Grand Prix
1003,2018,15,15,Singapore Grand Prix
1004,2018,16,71,Russian Grand Prix
1005,2018,17,22,Japanese Grand Prix
1006,2018,18,69,United States Grand Prix
1007,2018,19,32,Mexican Grand Prix
1008,2018,20,18,Brazilian Grand Prix
1009,2018,21,24,Abu Dhabi Grand Prix
1010,2019,1,1,Australian Grand Prix
1011,2019,2,3,Bahrain Grand Prix
1012,2019,3,17,Chinese Grand Prix
1013,2019,4,73,Azerbaijan Grand Prix
1014,2019,5,4,Spanish Grand Prix
1015,2019,6,6,Monaco Grand Prix
1016,2019,7,7,Canadian Grand Prix
1017,2019,8,34,French Grand Prix
1018,2019,9,70,Austrian Grand Prix
1019,2019,10,9,British Grand Prix
1020,2019,11,10,German Grand Prix
1021,2019,12,11,Hungarian Grand Prix
1022,2019,13,13,Belgian Grand Prix
1023,2019,14,14,Italian Grand Prix
1024,2019,15,15,Singapore Grand Prix
1025,2019,16,71,Russian Grand Prix
1026,2019,17,22,Japanese Grand Prix
1027,2019,18,32,Mexican Grand Prix
1028,2019,19,69,United States Grand Prix
1029,2019,20,18,Brazilian Grand Prix
1030,2019,21,24,Abu Dhabi Grand Prix
1031,2020,1,70,Austrian Grand Prix
1032,2020,2,70,Styrian Grand Prix
1033,2020,3,11,Hungarian Grand Prix
1034,2020,4,9,British Grand Prix
1035,2020,5,9,70th Anniversary Grand Prix
1036,2020,6,4,Spanish Grand Prix
1037,2020,7,13,Belgian Grand Prix
1038,2020,8,14,Italian Grand Prix
1039,2020,9,76,Tuscan Grand Prix
1040,2020,10,71,Russian Grand Prix
1041,2020,11,20,Eifel Grand Prix
1042,2020,12,75,Portuguese Grand Prix
1043,2020,13,21,Emilia Romagna Grand Prix
1044,2020,14,5,Turkish Grand Prix
1045,2020,15,3,Bahrain Grand Prix
1046,2020,16,3,Sakhir Grand Prix
1047,2020,17,24,Abu Dhabi Grand Prix
1053,2021,2,21,Emilia Romagna Grand Prix
1074,2022,1,3,Bahrain Grand Prix
1052,2021,1,3,Bahrain Grand Prix
1051,2021,20,78,Qatar Grand Prix
1054,2021,3,75,Portuguese Grand Prix
1055,2021,4,4,Spanish Grand Prix
1056,2021,5,6,Monaco Grand Prix
1057,2021,6,73,Azerbaijan Grand Prix
1058,2021,8,70,Styrian Grand Prix
1059,2021,7,34,French Grand Prix
1060,2021,9,70,Austrian Grand Prix
1061,2021,10,9,British Grand Prix
1062,2021,11,11,Hungarian Grand Prix
1063,2021,12,13,Belgian Grand Prix
1064,2021,13,39,Dutch Grand Prix
1065,2021,14,14,Italian Grand Prix
1066,2021,15,71,Russian Grand Prix
1067,2021,16,5,Turkish Grand Prix
1069,2021,17,69,United States Grand Prix
1070,2021,18,32,Mexico City Grand Prix
1071,2021,19,18,Ṣo Paulo Grand Prix
1072,2021,21,77,Saudi Arabian Grand Prix
1073,2021,22,24,Abu Dhabi Grand Prix
1075,2022,2,77,Saudi Arabian Grand Prix
1076,2022,3,1,Australian Grand Prix
1077,2022,4,21,Emilia Romagna Grand Prix
1078,2022,5,79,Miami Grand Prix
1079,2022,6,4,Spanish Grand Prix
1080,2022,7,6,Monaco Grand Prix
1081,2022,8,73,Azerbaijan Grand Prix
1082,2022,9,7,Canadian Grand Prix
1083,2022,10,9,British Grand Prix
1084,2022,11,70,Austrian Grand Prix
1085,2022,12,34,French Grand Prix
1086,2022,13,11,Hungarian Grand Prix
1087,2022,14,13,Belgian Grand Prix
1088,2022,15,39,Dutch Grand Prix
1089,2022,16,14,Italian Grand Prix
1091,2022,17,15,Singapore Grand Prix
1092,2022,18,22,Japanese Grand Prix
1093,2022,19,69,United States Grand Prix
1094,2022,20,32,Mexico City Grand Prix
1095,2022,21,18,Brazilian Grand Prix
1096,2022,22,24,Abu Dhabi Grand Prix
